total_load_kips,water_level_inches
0.000000,-0.022488
0.500003,0.550791
1.000000,0.717543
1.500000,0.842472
2.000000,0.963511
2.500000,1.084325
3.000000,1.205130
3.500000,1.325935
4.000000,1.446740
4.500000,1.567545
5.000000,1.688350
5.500000,1.809155
6.000000,1.929960
6.500000,2.050765
7.000000,2.171570
7.500000,2.292375
8.000000,2.413180
8.500000,2.533985
9.000000,2.654791
9.500000,2.775597
10.000000,2.896402
10.500000,3.017208
11.000000,3.138015
11.500000,3.258821
12.000000,3.379628
12.500000,3.500435
13.000000,3.621242
13.500000,3.742050
14.000000,3.862858
14.500000,3.983666
15.000000,4.104474
15.500000,4.225283
16.000000,4.346093
16.500000,4.466902
17.000000,4.587713
17.500000,4.708523
18.000000,4.829334
18.500000,4.950146
19.000000,5.070958
19.500000,5.191771
20.000000,5.312584
20.500000,5.433397
21.000000,5.554212
21.500000,5.675026
22.000000,5.795842
22.500000,5.916658
23.000000,6.037475
23.500000,6.158292
24.000000,6.279110
24.500000,6.399929
25.000000,6.520748
25.500000,6.641568
26.000000,6.762389
26.500000,6.883211
27.000000,7.004034
27.500000,7.124857
28.000000,7.245681
28.500000,7.366506
29.000000,7.487332
29.500000,7.608159
30.000000,7.728986
30.500000,7.849815
31.000000,7.970644
31.500000,8.091475
32.000000,8.212306
32.500000,8.333138
33.000000,8.453972
33.500000,8.574806
34.000000,8.695641
34.500000,8.816478
35.000000,8.937315
35.500000,9.058154
36.000000,9.178994
36.500000,9.299835
37.000000,9.420677
37.500000,9.541520
38.000000,9.662364
38.500000,9.783210
39.000000,9.510435
