total_load_kips,water_level_inches
0.000000,-0.022488
0.500003,0.550796
1.000000,0.717549
1.500000,0.842480
2.000000,0.963520
2.500000,1.084336
3.000000,1.205143
3.500000,1.325949
4.000000,1.446756
4.500000,1.567563
5.000000,1.688370
5.500000,1.809177
6.000000,1.929983
6.500000,2.050790
7.000000,2.171597
7.500000,2.292404
8.000000,2.413211
8.500000,2.534017
9.000000,2.654824
9.500000,2.775631
10.000000,2.896438
10.500000,3.017245
11.000000,3.138051
11.500000,3.258858
12.000000,3.379665
12.500000,3.500472
13.000000,3.621278
13.500000,3.742085
14.000000,3.862892
14.500000,3.983699
15.000000,4.104506
15.500000,4.225312
16.000000,4.346119
16.500000,4.466926
17.000000,4.587733
17.500000,4.708540
18.000000,4.829346
18.500000,4.950153
19.000000,5.070960
19.500000,5.191767
20.000000,5.312574
20.500000,5.433380
21.000000,5.554187
21.500000,5.674994
22.000000,5.795801
22.500000,5.916608
23.000000,6.037414
23.500000,6.158221
24.000000,6.279028
24.500000,6.399835
25.000000,6.520642
25.500000,6.641448
26.000000,6.762255
26.500000,6.883062
27.000000,7.003869
27.500000,7.124675
28.000000,7.245482
28.500000,7.366289
29.000000,7.487096
29.500000,7.607903
30.000000,7.728709
30.500000,7.849516
31.000000,7.970323
31.500000,8.091130
32.000000,8.211937
32.500000,8.332743
33.000000,8.453550
33.500000,8.574357
34.000000,8.695164
34.500000,8.815971
35.000000,8.936777
35.500000,9.057584
36.000000,9.178391
36.500000,9.299198
37.000000,9.420005
37.500000,9.540811
38.000000,9.661618
38.500000,9.782425
39.000000,9.676473
39.500000,8.547938
40.000000,0.351633
40.500000,-261.446401
