total_load_kips,water_level_inches
0.000000,-0.105820
0.500000,2.087601
1.000003,2.973643
1.499997,3.637372
2.000001,4.183409
2.500000,4.652682
3.000000,5.066500
3.500000,5.437683
4.000000,5.774833
4.500000,6.084054
5.000000,6.369970
5.500000,6.636142
6.000000,6.885368
6.500000,7.119987
7.000000,7.341934
7.500002,7.552809
8.000003,7.753982
8.499997,7.946628
9.000003,8.131756
9.500002,8.310240
9.999999,8.482813
10.499998,8.650121
10.999999,8.812751
11.500001,8.971202
11.999999,9.125896
12.499997,9.277243
13.000002,9.425492
13.499998,9.571069
13.999998,9.714078
14.500001,9.854887
15.000000,9.993662
15.499999,10.130552
15.999999,10.265716
16.499999,10.399306
17.000000,10.531430
17.500001,10.662219
18.000000,10.791769
18.500000,10.920170
19.000001,11.047533
19.500000,11.173917
20.000000,11.299394
20.500000,11.424034
21.000000,11.547899
21.500000,11.671035
21.999999,11.793502
22.499998,11.915309
23.000000,12.036577
23.500000,12.157282
24.000000,12.278017
24.500000,12.398809
25.000000,12.519606
25.500000,12.640403
26.000000,12.761202
26.500000,12.882001
27.000000,13.002801
27.500000,13.123602
28.000000,13.244404
28.500000,13.365206
29.000000,13.486009
29.500000,13.606814
30.000000,13.727619
30.500000,13.848425
31.000000,13.969232
31.500000,14.090040
32.000000,14.210849
32.500000,14.331658
33.000000,14.452469
33.500000,14.573281
34.000000,14.694094
34.500000,14.814908
35.000000,14.935723
35.500000,15.056539
36.000000,15.177357
36.500000,15.298175
37.000000,15.418995
37.500000,15.539815
38.000000,15.660637
38.500000,15.578128
