total_load_kips,water_level_inches
0.000000,-0.105820
0.500000,2.087609
1.000003,2.973657
1.499997,3.637393
2.000001,4.183437
2.500000,4.652717
3.000000,5.066542
3.500000,5.437733
4.000000,5.774892
4.500000,6.084122
5.000000,6.370047
5.500000,6.636227
6.000000,6.885461
6.500000,7.120089
7.000000,7.342043
7.500002,7.552926
8.000003,7.754105
8.499997,7.946758
9.000003,8.131892
9.500002,8.310381
9.999999,8.482960
10.499998,8.650272
10.999999,8.812905
11.500001,8.971360
11.999999,9.126056
12.499997,9.277406
13.000002,9.425657
13.499997,9.571235
13.999998,9.714244
14.500001,9.855053
15.000000,9.993828
15.499999,10.130715
15.999999,10.265878
16.499999,10.399465
17.000000,10.531587
17.500001,10.662372
18.000000,10.791918
18.500000,10.920314
19.000001,11.047673
19.500000,11.174053
20.000000,11.299525
20.500000,11.424161
21.000000,11.548020
21.500000,11.671150
21.999999,11.793610
22.499998,11.915410
23.000000,12.036670
23.500000,12.157366
24.000000,12.278092
24.500000,12.398875
25.000000,12.519662
25.500000,12.640449
26.000000,12.761235
26.500000,12.882022
27.000000,13.002809
27.500000,13.123596
28.000000,13.244382
28.500000,13.365169
29.000000,13.485956
29.500000,13.606742
30.000000,13.727529
30.500000,13.848316
31.000000,13.969103
31.500000,14.089889
32.000000,14.210676
32.500000,14.331463
33.000000,14.452250
33.500000,14.573036
34.000000,14.693823
34.500000,14.814610
35.000000,14.935397
35.500000,15.056183
36.000000,15.176970
36.500000,15.297757
37.000000,15.418544
37.500000,15.539330
38.000000,15.660117
38.500000,15.671051
39.000000,15.343614
39.500000,12.792951
